tweet,label
"Jokowi dukung Ganjar Pranowo sebagai tongkat estafet melanjutkan kepemimpinannya 

#GanjarCapres https://t.co/UjI3ZDOoEU",1
"https://t.co/FoaJrOijsY
Ganjar Pranowo Pemimpin yang munya nyali
Maju Pak Ganjar Kami dibelakangmu

#GanjarCapres",1
"Ganjar Pranowo sosok pemimpin yang berani dan punya nyali
#Ganjarcapres

https://t.co/eBWbtbh3gx",1
"Ganjar Pranowo sosok pemimpin yang berani dan punya nyali
#Ganjarcapres

https://t.co/eU0o3g8igo",1
"Ganjar Pranowo sosok pemimpin yang berani dan punya nyali
#Ganjarcapres

https://t.co/4eqFxPsCUv",1
"@dwioktariyadi @Muhadjir_M Mereka juga seolah buta dengan yg ini...👇

Gubernur Jawa Tengah  Ganjar Pranowo dinobatkan sebagai “The Best Governor 2023” oleh The  Asian Post. Penghargaan diberikan pada ajang “Top BUMD 2023” di Royal  Ambarrukmo, Yogyakarta

https://t.co/3vETyxqh1P",-1
"“Satu sedekah yang tulus sama dengan seribu langkah menuju surga.”

#makganjar
#makganjarjambi
#ganjarpranowo
#ganjarpresiden2024 https://t.co/eAqS7S9BpA",-1
"Idolaku pak ganjar pranowo❤🥰

#makganjar
#makganjarjambi
#ganjarpranowo
#ganjarpresiden
#ganjarpresiden2024 https://t.co/HPT6eTr37w",-1
@burhanuddin30 @Anak__Ogi @ganjarpranowo Iyaaa.. g ada yg bilang jateng kaya.. tapi perbaikan kearah itu sedang berjalan.. mengurus 29 kab dan 6 kota dg jumlah penduduk 26jt itu dak mudah..,-1
"Kepercayaan publik terhadap Ganjar untuk melanjutkan program Presiden Jokowi menandakan pemerintahan yang saat ini berjalan dinilai sangat baik dan patut dilanjutkan

#GanjarPranowo #GanjarPilihanRakyat #GanjarPresiden #GanjarPenerusJokowi #MenangTotal #Pilpres2024 #Pemilu2024 https://t.co/qyz6vb3jQW",1
"@burhanuddin30 @Anak__Ogi @ganjarpranowo Sebagai ibu kota dan sentra ekonomi nasional ya wajar surplus anggaran akibat peredaran uang dan tambahan alokasi dr pusat. Surplus itu berarti pergerakan ekonomi bagus dan itu wajar krn pusat bisnis, yg penting alokasi anggaran itu kemana aja, kalau cm polas poles ya gampang",-1
